Owner,Recipe,Description,Ingredients,Steps,Category,Flavor Profile,Nutrition Labels,Prep (min),Cook (min),Servings,Difficulty,Estimated Cost,Tags,Meal Type,Mood,Ratings
,Chicken Pastel,Isang creamy na chicken stew na niluluto sa ilalim ng pie crust (o bilang ulam lang).,"500g chicken cubes, 1/2 cup cream, mushroom, sausage, carrots, potato, butter, cheese.","Step 1: Igisa ang chicken sa butter hanggang mag-brown.

Step 2: Idagdag ang sausage, patatas, at carrots.

Step 3: Ibuhos ang gatas o cream at pakuluan hanggang lumambot ang gulay.

Step 4: Idagdag ang mushroom at cheese; haluin hanggang matunaw ang keso.

Step 5: Timplahan ng asin at paminta.

Step 6: Maaaring ilagay sa baking dish at takpan ng pastry dough bago i-bake.",Ulam (Main Dish),"Creamy, Savory",Calories: ~410 kcal | Protein: ~22g | Fat: ~28g | Carbohydrates: ~15g | Sodium: ~550mg,20,30,4,Moderate,Medium Cost,"Chicken, Creamy, Pastel, Filipino","Tanghalian, Hapunan","Fancy, Cozy, Impressed, Special Sunday meal, Indulgent",
,Taho (Homemade),"Ang sikat na street food na soft tofu na may arnibal at sago, ginawa sa sariling kusina.","500g extra soft tofu, 1 cup brown sugar, 1 cup water, 1/2 cup cooked sago, vanilla.","Step 1: I-steam ang extra soft tofu ng 10-15 minuto; itabi.

Step 2: Para sa arnibal, pakuluan ang tubig, asukal, at vanilla hanggang lumapot ang syrup.

Step 3: Ihanda ang sago na niluto na nang hiwalay.

Step 4: Kumuha ng manipis na layer ng mainit na tofu gamit ang sandok.

Step 5: Ilagay sa baso at lagyan ng nilutong sago.

Step 6: Buhusan ng mainit na arnibal bago ihain.",Street Food / Meryenda,"Matamis, Soft",Calories: ~160 kcal | Protein: ~8g | Carbohydrates: ~30g | Sugar: ~25g | Sodium: ~15mg,10,20,4,Easy,Low Cost,"Tofu, Street Food, Sweet, Filipino","Almusal, Meryenda","Morning nostalgia, Simple joy, Comforted, Warm and happy",
,Beef Pares,"Malambot na beef stew na may matamis at malinamnam na sabaw, ihahain kasama ng sinangag.","500g beef brisket, star anise, ginger, soy sauce, brown sugar, garlic, cornstarch.","Step 1: Pakuluan ang beef sa tubig na may luya hanggang maging sobrang lambot.

Step 2: Igisa ang maraming bawang sa kawali.

Step 3: Idagdag ang pinalambot na beef at ang sabaw nito.

Step 4: Ibuhos ang toyo, asukal, at ilagay ang star anise.

Step 5: Pakuluan at lagyan ng cornstarch mixture para lumapot ang sarsa.

Step 6: Ihain kasama ang fried rice at beef soup sa tabi.",Ulam (Main Dish),"Matamis, Malinamnam",Calories: ~380 kcal | Protein: ~26g | Fat: ~22g | Carbohydrates: ~15g | Sodium: ~740mg,20,120,4,Moderate,Medium Cost,"Beef, Pares, Filipino Style, Ulam","Tanghalian, Hapunan","Late night hunger, Street food happiness, Exhausted after work, Nostalgic",
,Ginataang Hito,Inihaw na hito na niluto sa gata ng niyog at luya.,"2 large hito (catfish), 2 cups coconut milk, knob ginger, vinegar, chili pepper, salt.","Step 1: Linisin ang hito at ihawin muna hanggang maluto (optional ngunit mas masarap).

Step 2: Igisa ang luya, bawang, at sibuyas.

Step 3: Ibuhos ang gata at pakuluan.

Step 4: Ilagay ang inihaw na hito at sili.

Step 5: Magdagdag ng kaunting suka at huwag munang hahaluin.

Step 6: Lutuin hanggang mag-mantika ang gata.",Ulam (Seafood),"Creamy, Smoky",Calories: ~320 kcal | Protein: ~20g | Fat: ~24g | Carbohydrates: ~4g | Sodium: ~350mg,20,30,2,Moderate,Medium Cost,"Catfish, Gata, Inihaw, Filipino","Tanghalian, Hapunan","Adventurous, Nostalgic (rural roots), Simple pleasure, Curious",
,Majas Blanca,"Isang maputing dessert na gawa sa gatas ng niyog at mais, budburan ng latik.","2 cups coconut milk, 1 cup evaporated milk, 1 cup cornstarch, 1 cup sugar, sweet corn kernels, latik.","Step 1: Paghaluin ang gata, evaporated milk, at asukal sa isang kawali.

Step 2: Pakuluan sa katamtamang init at ihalo ang mais.

Step 3: Tunawin ang cornstarch sa kaunting gatas at ibuhos sa kumukulong mixture.

Step 4: Haluin nang tuloy-tuloy hanggang maging napakalapot.

Step 5: Isalin sa isang lalagyan at patagin ang ibabaw.

Step 6: Palamigin at budburan ng latik bago hiwain.",Dessert / Meryenda,"Matamis, Creamy",Calories: ~240 kcal | Fat: ~10g | Carbohydrates: ~35g | Sugar: ~22g | Sodium: ~60mg,15,20,8,Easy,Low Cost,"Coconut Milk, Corn, Sweet, Filipino",Meryenda,"Sweet satisfaction, Festive, Nostalgic, Merienda happiness",
,Adobong Kambing,"Goat meat na niluto sa toyo, suka, at maraming luya para matanggal ang lansa.","1 kg goat meat, 1/2 cup soy sauce, 1/4 cup vinegar, ginger (many), laurel, peppercorns.","Step 1: Pakuluan ang kambing sa tubig na may maraming luya hanggang lumambot; salain.

Step 2: Igisa ang bawang at marami pang luya.

Step 3: Idagdag ang kambing at igisa ng ilang minuto.

Step 4: Ibuhos ang toyo, suka, at pampalasa.

Step 5: Lutuin sa mahinang apoy hanggang ma-absorb ang sarsa.

Step 6: Ihain nang mainit kasama ang kanin.",Ulam (Main Dish),"Maalat, Maasim",Calories: ~290 kcal | Protein: ~32g | Fat: ~14g | Carbohydrates: ~3g | Sodium: ~790mg,20,90,6,Difficult,High Cost,"Goat, Adobo, Exotic, Filipino","Tanghalian, Hapunan","Adventurous, Bold, Curious, Proud (exotic food courage)",
,Tupig,"Isang Ilocano delicacy na gawa sa malagkit at niyog, binalot sa dahon ng saging at inihaw.","2 cups glutinous rice flour, 1 cup coconut milk, 1 cup muscovado sugar, young coconut strips.","Step 1: Paghaluin ang rice flour, gata, asukal, at coconut strips hanggang makabuo ng malapot na mixture.

Step 2: Ihanda ang dahon ng saging na pinunasan ng mantika.

Step 3: Maglagay ng 2 kutsara ng mixture sa dahon at i-roll nang mahaba at payat.

Step 4: Ihanda ang parilya o uling.

Step 5: Ihawin ang tupig hanggang masunog nang bahagya ang dahon at maluto ang loob.

Step 6: Baligtarin nang madalas para hindi masunog nang sobra.",Kakanin / Meryenda,"Sweet, Smoky",Calories: ~210 kcal | Carbohydrates: ~40g | Fat: ~5g | Sugar: ~18g | Sodium: ~25mg,30,20,10,Moderate,Low Cost,"Ilocano, Grilled, Malagkit, Filipino",Meryenda,"Nostalgic (Ilocano pride), Smoky happiness, Simple joy, Provincial warmth",
,Ginger Candy,"Ang Ginger Candy ay isang natatangi at masustansiyang kendi na gawa sa sariwang luya na pinakuluan at pinagsamang asukal hanggang maging malapot at malagkit ang mixture. Ang natural na init at anghang ng luya ay nagbibigay ng natatanging lasa na nagpapalayo sa karaniwang matamis na kendi. Ang ginger candy ay kilala rin bilang natural na lunas sa sakit ng tiyan, vomiting, at motion sickness. Ang mas matagal na luya ay nagbibigay ng mas malakas na anghang habang ang mas batang luya ay mas banayad ang lasa. Ito ay isang mahusay na negosyo na may matagal na shelf life.","Murang luya (hindi magulang) binalatan at hiniwa nang pakuwadrado, tubig, asukal","Step 1: Ilagay ang nahiwang luya sa isang kaserola.
Step 2: Lagyan ng kaunting tubig para maluto ang luya.
Step 3: Lutuinin sa katamtamang init ng apoy hanggang lumambot ang luya. Kung gaano karami ang luya dagdagan ng pressure cooker kung magpapaabot (mga 30 minuto). Mas magiging mabilis ang pagpapalambot kung gagamit ng pressure cooker.
Step 4: Salain ang tubig.
Step 5: Magdagdag ng kaunting asukal sa luya. Pabayaang kumulo 1/4 ng total amount.
Step 6: Lagyan ng kaunting tubig para lumapot ang luya habang hinahalo at habang nag-evaporate na ang likido. Kapag malapit na maluto, hinaan ang apoy at bayaang lumamig habang hinahalo.
Step 7: Patayin ang apoy at bayaang lumamig.
Step 8: Pagulungin ang luya sa asukal.
Step 9: Isalin sa isang malaking plato at pagulungin sa asukal.",Kendi / Processed Food / Meryenda,"Matamis, Maanghang, Natural na Lasa ng Luya",Calories: ~120 kcal | Carbs: ~30g | Sugar: ~25g | Sodium: ~5mg,20,45,20,Moderate,Low Cost,"Luya, Ginger Candy, Kendi, Filipino, Negosyo, Meryenda, Herbal",Meryenda,"Sick or recovering, Adventurous, Nostalgic, Health-conscious",
,Kamias Candy,"Ang Kamias Candy ay isang natatangi at masarap na kendi na ginagawa mula sa kamias — isang prutas na karaniwang ginagamit bilang pampaasim sa mga ulam. Sa pamamagitan ng proseso ng candying, ang natural na sobrang asim ng kamias ay nagiging matamis at masarap na kendi na hindi mo inaasahan. Ang lime solution ay ginagamit para alisin ang pait at sobrang asim ng kamias bago lutuin sa asukal. Ang Kamias Candy ay isa sa mga exported na produkto ng Pilipinas na paboritong-paborito sa iba't ibang bansa. Ito ay isang napakagandang negosyo na may mataas na kita.","Kamias, lime solution (asukal na hinaluan ng tubig), asukal, syrup","Step 1: Simulang ipagbukod-bukod ang prutas ayon sa kanilang laki habang tinatanggal ang mga bulok o may diprensiya.
Step 2: Timbangin ang mga prutas.
Step 3: Ibabad sila sa lime solution buong magdamag (1 kutsarang apog kada 1 litro ng tubig). Ang prosesong ito ay medyo magpapatigas ng kamias.
Step 4: Muling hugasan nang maigi ang prutas sa tubig para matanggal ang sobrang apog sa pamamagitan ng pagdadalo ng tubig.
Step 5: Sandaling ibabad sila sa kumukulong tubig ng 3 hanggang 5 minuto saka salain.
Step 6: Tusukin ang ilalim na bahagi ng kamias gamit ang toothpick at medyo pisain.
Step 7: Ihanda ang syrup (asukal na hinaluan ng tubig). Pakuluan ng 5 minuto at medyo pisain.
Step 8: Idagdag ang kamias sa syrup at pakuluan ng 5 minuto at patuyuin sa ilalim ng araw, iayos ang kamias sa tray at patuyuin sa ilalim ng araw.
Step 9: Sa sumunod na araw, iayos ang kamias sa tray at patuyuin sa ilalim ng araw.
Step 10: Pagkataraang matuyo, timbangin muli at i-pack sa plastic bag saka selyaduhan.",Kendi / Processed Food / Meryenda,"Matamis-Maasim, Chewy, Preserved na Prutas",Calories: ~90 kcal | Carbs: ~22g | Sugar: ~18g | Sodium: ~10mg,480,30,20,Difficult,Low Cost,"Kamias, Candy, Kendi, Filipino, Negosyo, Meryenda, Exported",Meryenda,"Curious, Nostalgic, Sweet-sour craving, Proud (Filipino product)",
,Tamarind Balls,Ang Tamarind Balls ay isang tradisyonal na Filipino candy na gawa sa hinog na sampalok na pinagsama sa kamoteng ube at asukal para makamit ang natatanging matamis-maasim at chewy na texture. Ang sampalok ang nagbibigay ng natural na maasim at malalim na lasa habang ang kamoteng ube ay nagdadagdag ng kakaibang kulay at bahagyang tamis. Ang asukal ay ginagamit para balutin ang bola para sa mas matagal na shelf life at para sa karagdagang tamis. Ito ay isa sa mga pinakasikat na street food at pasalubong sa Pilipinas na mabibili sa mga palengke at tindahan.,"1 tasang hinog na sampalok kasama ang buto, 2 tasang kamoteng ube pinakuluan at nilamas, 1 tasang asukal, 1 tasang tubig","Step 1: Paghaluin ang mga sangkap sa isang kaserola nang maayos.
Step 2: Lutuin sa katamtamang init ng apoy.
Step 3: Tuloy-tuloy na haluin hanggang maging malapot ang mixture para maaari na itong iporma.
Step 4: Isalin sa isang malaking plato.
Step 5: Iporma na parang malaking bola at pagulungin sa asukal.
Step 6: Balutin sa cellophane para sa mas maayos na presentasyon at mas matagal na shelf life.",Kendi / Street Food / Meryenda,"Matamis-Maasim, Chewy, Malalim ang Lasa",Calories: ~110 kcal | Carbs: ~28g | Sugar: ~20g | Sodium: ~5mg,20,30,24,Easy,Low Cost,"Sampalok, Tamarind Balls, Kendi, Filipino, Street Food, Negosyo, Pasalubong",Meryenda,"Nostalgic, Street food happiness, Playful, Sweet-sour craving",
,Kropeck from Shrimp Heads,"Ang Kropeck from Shrimp Heads ay isang mapanlikhang paraan ng paggamit ng ulo ng hipon na karaniwang itinapon para makagawa ng masarap at malutong na kropeck. Sa pamamagitan ng paggiling ng ulo ng hipon kasama ang bigas, vetsin, at pampalasa, nagagawa ang isang makapal na mixture na pinatutuyo at pagkatapos ay piniprito para maging napaka-malutong na kropeck. Ito ay isang napaka-sulit na produkto dahil ginagamit ang parte ng hipon na walang gastos at ang resulta ay isang napaka-popular na meryenda. Perpekto bilang negosyo dahil mababang puhunan ngunit mataas na kita.","1 kilo ng ulo ng hipon pinakuluan (sandali/blanched), 1/2 kilong bigas, 2 kutsarang asin, 1 kutsarang itim na paminta, 1 kutsarang vetsin, 5 kutsarang limewater (1 kutsarang apog sa bawat 1 tasang tubig)","Step 1: Ibabad ang bigas sa tubig magdamagan. Pagkatapos ay gilingin ito kasama ang ulo ng hipon na pinakuluan sandali. Kailangan ng gilingin ito pinong-pino ang ulo ng hipon kasama ang bigas.
Step 2: Pagsama-samahin ang hipon at bigas at asin, vetsin, limewater at itim na paminta bilang flavoring.
Step 3: Ibuhos ang mixture sa isang pan na pinahiran ng mantika para sa recipeng ito.
Step 4: Iluto at ihalo ang mixture hanggang medyo lumapot ito (dapat dumikit at maaaring pangkabigin ng mixture sa kawali). Tanggalin sa apoy.
Step 5: Pasingawin ng 2 o 3 minuto at pagkatapos ay hiwain sa gustong laki.
Step 6: Bilang pangwakas, patuyin ang isda araw 1 o 2 araw hanggang lumutong at ibenta.",Meryenda / Processed Food / Negosyo,"Maalat, Malutong, Lasa ng Hipon",Calories: ~160 kcal | Protein: ~8g | Fat: ~6g | Carbs: ~20g | Sodium: ~580mg,480,30,20,Moderate,Low Cost,"Kropeck, Hipon, Meryenda, Filipino, Negosyo, Malutong, Processed Food",Meryenda,"Snacky, Creative satisfaction, Resourceful mood, Proud",
,Turkish Delight,Ang Turkish Delight ay isang makulay at malambot na kendi na nagmula sa Turkey ngunit naging popular na rin sa Pilipinas bilang isang mahusay na negosyo. Ito ay ginagawa sa pamamagitan ng pagluluto ng asukal at cornstarch sa napakataas na temperatura hanggang maging malapot at malagkit na mixture na puno ng rosewater na aroma. Ang paggamit ng candy thermometer ay napakahalaga para makamit ang tamang temperatura at consistency ng kendi. Ang powdered sugar sa ibabaw ay nagpipigil ng pagdikit ng mga piraso at nagbibigay ng magandang hitsura. Ito ay isang espesyal na produkto na napaka-angkop para sa mga regalo at espesyal na okasyon.,"4 tasang asukal, 1.5 tasang lemon juice, 2 kutsaritang cream of tartar, 1.25 tasang cornstarch, 2-3 drops red food coloring magdamagan, 1 kutsaritang rosewater (ilulusaw sa tubig), 1 tasang powdered sugar","Step 1: Maghanda ng 9x9 pan sa pamamagitan ng paglangis nito sa aluminum foil sa gilid nito. Ilagay ito sa pagpapahid ng butter sa gilid ng pan at pagkatapos ilagay ito sa paglalagay ng asukal.
Step 2: Pabayaang kumulo ang sugar mixture. I-brush ang anumang namumuong asukal sa gilid ng pan at bayaang kumulo. Haluin hanggang malusaw ang asukal; ilagay ang cream of tartar. Lutuin sa katamtamang init ng apoy hanggang maabot sa 240 degrees sa candy thermometer.
Step 3: Pabayaang kumulo ang sugar mixture nang hindi hinahalo. Magiging makapal sa 240 degrees sa candy thermometer.
Step 4: Kapag nasa mga 225 degrees na ang sugar syrup, ilagay ang natitirang 3 tasang cornstarch at cornstarch mixture sa kaserola. Magdagdag ng cornstarch at walang na namumuo. Painumin sa candy at pakuluan sa katamtamang init ng apoy. Magiging makapal ang mixture, patiboy na ang kaserola sa katamtamang init ng apoy at pakuluan bawat 8-10 minutes o magiging malapit na ng candy, binabati ng golden-yellow na candy, tanggalin ito hanggang sa mag-evaporate na ang mga mixture.
Step 5: Hinaan ang apoy at pakuluan sa mahinang apoy. Dahan-dahan ibuhos na sa 240 degrees at hinaan ang apoy, binabati bawat 8-10 minutes o 1 oras hanggang magiging golden-yellow ang candy, binabati ito sa mahinang apoy, tanggalin ito mula apoy.
Step 6: Lagyan ng kaunting tubig para lumapot ang luya habang hinahalo ang mixture. Magiging makapal at magiging malapot ang mixture, patiboy na hanggang mula apoy.
Step 7: Pagkatapon ng isang oras, tanggalin ang candy mula sa inhandang pan at ihalo ang food coloring at rosewater. Luto na ang candy.
Step 8: Sa susunod na araw, tanggalin ang candy sa gilid ng pan sa powdered sugar.
Step 9: Gamit ang iyong work station ng powdered sugar at ng iyong tray.
Step 10: Mas mamanman kung kainin ang Turkish Delight sa malilit na kuwadrado subalit maaari ring kumain ng Turkish Delight sa pag-kain ng ilong na gawin sa kuwadrong container na may wax paper sa loob at pinaspataspong powdered sugar.
",Kendi / Dessert / Espesyal na Produkto,"Matamis, Mabango, Malambot, Rosy na Lasa",Calories: ~150 kcal | Carbs: ~38g | Sugar: ~32g | Sodium: ~10mg,30,120,24,Difficult,Medium Cost,"Turkish Delight, Kendi, Negosyo, Espesyal, Pasalubong, Rosewater, Regalo","Meryenda, Dessert","Fancy, Gifting mood, Curious, Romantic, Special occasion",
,Baked Spaghetti,Ang Baked Spaghetti ay isang espesyal na Filipino-style na spaghetti na inihurnong sa oven para makamit ang ginintuang kayumanggi at cheesy na ibabaw. Hindi ito katulad ng karaniwang spaghetti — ang baked spaghetti ay may karagdagang white sauce na nagbibigay ng creamy at mayamang lasa na nagtatago sa ibabaw ng meat sauce at pasta. Ang quickmelt at parmesan cheese sa ibabaw ay nagpapaganda ng hitsura at nagbibigay ng maalat at mataba na lasa na perpektong nagbabalanse sa tamis ng meat sauce. Ito ay isang popular na party food at isang mahusay na produkto para ibenta sa mga okasyon at handaan.,"100 gms spaghetti noodles, 50 gms meat sauce, 20 gms parmesan cheese ginadgad, 50 gms white sauce, 20 gms Quickmelt cheese ginadgad, 5 gms parsley tinadtad |
(White Sauce) 1/8 tasang butter o margarine, 1/4 tasang gatas, 1 kutsaritang harina nilusaw sa 1/8 tasang tubig, asin at paminta","Step 1: Lutuin ang spaghetti sa tubig na inasinan. Salain nang maigi saka itabi.
Step 2: Ihanda ang white sauce: Ilusaw ang butter sa kaserola. Idagdag ang gatas. Ilusaw ang flour mixture at patuloy na haluin hanggang maging malapot. Idagdag ang mga pampalasa at haluin nang maigi.
Step 3: Kapag kinagat na ang spaghetti at al dente (may konting tigas kapag kinagat) na ang spaghetti, salain nang maigi at idagdag ang meat sauce. Ilagay ang spaghetti sa plato. Pangibabawan ng white sauce at idagdag ang Parmesan cheese. Ilagay ang spaghetti sa nilangisang na baking dish.
Step 4: I-bake ng 8 hanggang 10 minuto sa 350°F na oven. Wisikan ng tinadtad na parsley saka ihain.",Pasta / Main Dish,"Matamis-Maalat, Creamy, Cheesy, Masarap",Calories: ~380 kcal | Protein: ~16g | Fat: ~18g | Carbs: ~42g | Sodium: ~520mg,20,20,4,Moderate,Medium Cost,"Spaghetti, Baked, Pasta, Filipino, Espesyal, Handaan, Negosyo","Tanghalian, Hapunan","Party mood, Celebratory, Impressed, Indulgent, Festive",
,Baked Mac and Cheese,"Ang Baked Mac and Cheese ay isang creamy, cheesy, at napaka-comfort na pagkain na paboritong-paborito ng lahat ng edad. Ang elbow macaroni ay pinakuluan hanggang al dente bago pagsamahin sa mayamang cheese sauce na gawa sa butter, gatas, harina, at sharp cheddar cheese. Ang pagbe-bake sa oven ay nagbibigay ng ginintuang kayumanggi at bahagyang malutong na ibabaw na nagpapaganda ng hitsura at nagdadagdag ng karagdagang lasa. Ang dry mustard ay nagdadagdag ng bahagyang anghang na nagpapalalim ng lasa ng cheese. Ito ay isang perpektong side dish o mabilis na ulam para sa buong pamilya.","1 pkg (7 oz.) elbow macaroni niluto nang al dente (medyo hilaw) saka sinala, 2 kutsarang butter o margarine, 2 kutsarang harina, 1 kutsaritang asin, 1 kutsaritang dry mustard, 2 1/2 tasang gatas, 2 tasang (8 oz.) sharp cheddar cheese hiniwa-hiwa","Step 1: Initin ang oven ng 375°F.
Step 2: Sa isang kaserola, ilusaw ang margarine at ihalo ang harina, mustard at asin.
Step 3: Unti-unting ihalo ang gatas hanggang medyo lumapot ito (dapat dumikit at maaari itong pangkabigin sa kawali). Tanggalin sa apoy.
Step 4: Iluto at ihalo ang mixture hanggang medyo lumapot ito (dapat dumikit ang mixture sa kawali). Tanggalin sa apoy.
Step 5: Magdagdag ng 1-1/2 tasang keso. Tanggalin sa apoy; ihalo hanggang malusaw.
Step 6: Ihalo ang nalutong macaroni.
Step 7: Ikalat sa nilangisang na baking dish.
Step 8: Pangibabawan ng natitirang keso.
Step 9: I-bake ng 20 hanggang 25 minuto o hanggang bumula.
Step 10: Ihain kasama ang garlic sticks kung gusto.
Step 11: I-refrigerate ang natira.",Pasta / Side Dish / Main Dish,"Creamy, Cheesy, Maalat, Malasa",Calories: ~420 kcal | Protein: ~18g | Fat: ~22g | Carbs: ~40g | Sodium: ~580mg,15,35,6,Easy,Medium Cost,"Mac and Cheese, Pasta, Baked, Cheesy, Comfort Food, Pamilya, Meryenda","Tanghalian, Hapunan, Meryenda","Comforted, Indulgent, Cozy, Treat yourself, Weekend happiness",
